tradeId,lender,borrower,cusip,tradeDate,settlementDate,collateralQuantity,price,term,repoRate,startAmount,endAmount,currency
21,Barclays,Citi,E02PA498,2018-11-23,2018-11-26,6000000,95,26,5.95,5700000,6300000,USD
22,Barclays,Citi,RN5PI6NR,2018-11-23,2018-11-26,2950000,95,26,5.95,2802500,3100000,USD
23,Barclays,Citi,H0O253P6,2018-11-23,2018-11-26,1200000,95,26,5.95,1140000,1300000,USD
24,Barclays,Citi,H8QHQ5OA,2018-11-23,2018-11-26,1050000,95,26,5.95,997500,1100000,USD
25,Barclays,Citi,FO6D956F,2018-11-23,2018-11-26,7600000,95,26,5.95,7220000,7900000,USD
26,Barclays,Citi,DALQ3BL5,2018-11-23,2018-11-26,4550000,95,26,5.95,4322500,4800000,USD
27,Barclays,Citi,44C9DPJM,2018-11-23,2018-11-26,100000,95,26,5.95,95000,100000,USD
28,Barclays,Citi,A3RHLM9M,2018-11-23,2018-11-26,2700000,95,26,5.95,2565000,2800000,USD
29,Barclays,Citi,0M0ONAFS,2018-11-23,2018-11-26,1750000,95,26,5.95,1662500,1800000,USD
30,Barclays,Citi,A3RHLM9M,2018-11-23,2018-11-26,6250000,95,26,5.95,5937500,6500000,USD
31,HSBC,Barclays,E02PA498,2018-11-23,2018-11-26,5800000,95,26,5.95,5510000,6100000,USD
32,HSBC,Barclays,RN5PI6NR,2018-11-23,2018-11-26,1100000,95,26,5.95,1045000,1100000,USD
33,HSBC,Barclays,H0O253P6,2018-11-23,2018-11-26,8000000,95,26,5.95,7600000,8400000,USD
34,HSBC,Barclays,H8QHQ5OA,2018-11-23,2018-11-26,4150000,95,26,5.95,3942500,4300000,USD
35,HSBC,Barclays,FO6D956F,2018-11-23,2018-11-26,7600000,95,26,5.95,7220000,7900000,USD
36,HSBC,Barclays,DALQ3BL5,2018-11-23,2018-11-26,4950000,95,26,5.95,4702500,5200000,USD
37,HSBC,Barclays,44C9DPJM,2018-11-23,2018-11-26,1150000,95,26,5.95,1092500,1200000,USD
38,HSBC,Barclays,A3RHLM9M,2018-11-23,2018-11-26,100000,95,26,5.95,95000,100000,USD
39,HSBC,Barclays,0M0ONAFS,2018-11-23,2018-11-26,3200000,95,26,5.95,3040000,3300000,USD
40,HSBC,Barclays,A3RHLM9M,2018-11-23,2018-11-26,3850000,95,26,5.95,3657500,4000000,USD
41,HSBC,JPMorgan,E02PA498,2018-11-23,2018-11-26,3800000,95,26,5.95,3610000,4000000,USD
42,HSBC,JPMorgan,RN5PI6NR,2018-11-23,2018-11-26,6200000,95,26,5.95,5890000,6500000,USD
43,HSBC,JPMorgan,H0O253P6,2018-11-23,2018-11-26,5350000,95,26,5.95,5082500,5600000,USD
44,HSBC,JPMorgan,H8QHQ5OA,2018-11-23,2018-11-26,150000,95,26,5.95,142500,160000,USD
45,HSBC,JPMorgan,FO6D956F,2018-11-23,2018-11-26,7400000,95,26,5.95,7030000,7700000,USD
46,HSBC,JPMorgan,DALQ3BL5,2018-11-23,2018-11-26,2150000,95,26,5.95,2042500,2200000,USD
47,HSBC,JPMorgan,44C9DPJM,2018-11-23,2018-11-26,3150000,95,26,5.95,2992500,3300000,USD
48,HSBC,JPMorgan,A3RHLM9M,2018-11-23,2018-11-26,8700000,95,26,5.95,8265000,9100000,USD
49,HSBC,JPMorgan,0M0ONAFS,2018-11-23,2018-11-26,7950000,95,26,5.95,7552500,8300000,USD
50,HSBC,JPMorgan,A3RHLM9M,2018-11-23,2018-11-26,7750000,95,26,5.95,7362500,8100000,USD
51,HSBC,Citi,E02PA498,2018-11-23,2018-11-26,3150000,95,26,5.95,2992500,3300000,USD
52,HSBC,Citi,RN5PI6NR,2018-11-23,2018-11-26,6200000,95,26,5.95,5890000,6500000,USD
53,HSBC,Citi,H0O253P6,2018-11-23,2018-11-26,5300000,95,26,5.95,5035000,5500000,USD
54,HSBC,Citi,H8QHQ5OA,2018-11-23,2018-11-26,3150000,95,26,5.95,2992500,3300000,USD
55,HSBC,Citi,FO6D956F,2018-11-23,2018-11-26,7050000,95,26,5.95,6697500,7400000,USD
56,HSBC,Citi,DALQ3BL5,2018-11-23,2018-11-26,6350000,95,26,5.95,6032500,6600000,USD
57,HSBC,Citi,44C9DPJM,2018-11-23,2018-11-26,5350000,95,26,5.95,5082500,5600000,USD
58,HSBC,Citi,A3RHLM9M,2018-11-23,2018-11-26,3850000,95,26,5.95,3657500,4000000,USD
59,HSBC,Citi,0M0ONAFS,2018-11-23,2018-11-26,6200000,95,26,5.95,5890000,6500000,USD
60,HSBC,Citi,A3RHLM9M,2018-11-23,2018-11-26,3750000,95,26,5.95,3562500,3900000,USD
61,JPMorgan,Barclays,E02PA498,2018-11-23,2018-11-26,2250000,95,26,5.95,2137500,2400000,USD
62,JPMorgan,Barclays,RN5PI6NR,2018-11-23,2018-11-26,3300000,95,26,5.95,3135000,3400000,USD
63,JPMorgan,Barclays,H0O253P6,2018-11-23,2018-11-26,9750000,95,26,5.95,9262500,10000000,USD
64,JPMorgan,Barclays,H8QHQ5OA,2018-11-23,2018-11-26,50000,95,26,5.95,47500,52000,USD
65,JPMorgan,Barclays,FO6D956F,2018-11-23,2018-11-26,5000000,95,26,5.95,4750000,5200000,USD
66,JPMorgan,Barclays,DALQ3BL5,2018-11-23,2018-11-26,4700000,95,26,5.95,4465000,4900000,USD
67,JPMorgan,Barclays,44C9DPJM,2018-11-23,2018-11-26,5050000,95,26,5.95,4797500,5300000,USD
68,JPMorgan,Barclays,A3RHLM9M,2018-11-23,2018-11-26,1550000,95,26,5.95,1472500,1600000,USD
69,JPMorgan,Barclays,0M0ONAFS,2018-11-23,2018-11-26,700000,95,26,5.95,665000,730000,USD
70,JPMorgan,Barclays,A3RHLM9M,2018-11-23,2018-11-26,5900000,95,26,5.95,5605000,6200000,USD
71,JPMorgan,HSBC,E02PA498,2018-11-23,2018-11-26,3850000,95,26,5.95,3657500,4000000,USD
72,JPMorgan,HSBC,RN5PI6NR,2018-11-23,2018-11-26,700000,95,26,5.95,665000,730000,USD
73,JPMorgan,HSBC,H0O253P6,2018-11-23,2018-11-26,1500000,95,26,5.95,1425000,1600000,USD
74,JPMorgan,HSBC,H8QHQ5OA,2018-11-23,2018-11-26,5050000,95,26,5.95,4797500,5300000,USD
75,JPMorgan,HSBC,FO6D956F,2018-11-23,2018-11-26,100000,95,26,5.95,95000,100000,USD
76,JPMorgan,HSBC,DALQ3BL5,2018-11-23,2018-11-26,3300000,95,26,5.95,3135000,3400000,USD
77,JPMorgan,HSBC,44C9DPJM,2018-11-23,2018-11-26,1400000,95,26,5.95,1330000,1500000,USD
78,JPMorgan,HSBC,A3RHLM9M,2018-11-23,2018-11-26,4250000,95,26,5.95,4037500,4400000,USD
79,JPMorgan,HSBC,0M0ONAFS,2018-11-23,2018-11-26,5600000,95,26,5.95,5320000,5900000,USD
80,JPMorgan,HSBC,A3RHLM9M,2018-11-23,2018-11-26,6400000,95,26,5.95,6080000,6700000,USD
81,JPMorgan,Citi,E02PA498,2018-11-23,2018-11-26,2700000,95,26,5.95,2565000,2800000,USD
82,JPMorgan,Citi,RN5PI6NR,2018-11-23,2018-11-26,750000,95,26,5.95,712500,780000,USD
83,JPMorgan,Citi,H0O253P6,2018-11-23,2018-11-26,7200000,95,26,5.95,6840000,7500000,USD
84,JPMorgan,Citi,H8QHQ5OA,2018-11-23,2018-11-26,7100000,95,26,5.95,6745000,7400000,USD
85,JPMorgan,Citi,FO6D956F,2018-11-23,2018-11-26,7700000,95,26,5.95,7315000,8000000,USD
86,JPMorgan,Citi,DALQ3BL5,2018-11-23,2018-11-26,1250000,95,26,5.95,1187500,1300000,USD
87,JPMorgan,Citi,44C9DPJM,2018-11-23,2018-11-26,7000000,95,26,5.95,6650000,7300000,USD
88,JPMorgan,Citi,A3RHLM9M,2018-11-23,2018-11-26,3050000,95,26,5.95,2897500,3200000,USD
89,JPMorgan,Citi,0M0ONAFS,2018-11-23,2018-11-26,4400000,95,26,5.95,4180000,4600000,USD
90,JPMorgan,Citi,A3RHLM9M,2018-11-23,2018-11-26,100000,95,26,5.95,95000,100000,USD
91,Citi,Barclays,E02PA498,2018-11-23,2018-11-26,9550000,95,26,5.95,9072500,10000000,USD
92,Citi,Barclays,RN5PI6NR,2018-11-23,2018-11-26,1050000,95,26,5.95,997500,1100000,USD
93,Citi,Barclays,H0O253P6,2018-11-23,2018-11-26,9800000,95,26,5.95,9310000,10000000,USD
94,Citi,Barclays,H8QHQ5OA,2018-11-23,2018-11-26,8550000,95,26,5.95,8122500,8900000,USD
95,Citi,Barclays,FO6D956F,2018-11-23,2018-11-26,9200000,95,26,5.95,8740000,9600000,USD
96,Citi,Barclays,DALQ3BL5,2018-11-23,2018-11-26,9850000,95,26,5.95,9357500,10000000,USD
97,Citi,Barclays,44C9DPJM,2018-11-23,2018-11-26,7650000,95,26,5.95,7267500,8000000,USD
98,Citi,Barclays,A3RHLM9M,2018-11-23,2018-11-26,7700000,95,26,5.95,7315000,8000000,USD
99,Citi,Barclays,0M0ONAFS,2018-11-23,2018-11-26,3850000,95,26,5.95,3657500,4000000,USD
100,Citi,Barclays,A3RHLM9M,2018-11-23,2018-11-26,9750000,95,26,5.95,9262500,10000000,USD
101,Citi,HSBC,E02PA498,2018-11-23,2018-11-26,8150000,95,26,5.95,7742500,8500000,USD
102,Citi,HSBC,RN5PI6NR,2018-11-23,2018-11-26,8250000,95,26,5.95,7837500,8600000,USD
103,Citi,HSBC,H0O253P6,2018-11-23,2018-11-26,9850000,95,26,5.95,9357500,10000000,USD
104,Citi,HSBC,H8QHQ5OA,2018-11-23,2018-11-26,4200000,95,26,5.95,3990000,4400000,USD
105,Citi,HSBC,FO6D956F,2018-11-23,2018-11-26,2650000,95,26,5.95,2517500,2800000,USD
106,Citi,HSBC,DALQ3BL5,2018-11-23,2018-11-26,8200000,95,26,5.95,7790000,8600000,USD
107,Citi,HSBC,44C9DPJM,2018-11-23,2018-11-26,7200000,95,26,5.95,6840000,7500000,USD
108,Citi,HSBC,A3RHLM9M,2018-11-23,2018-11-26,7950000,95,26,5.95,7552500,8300000,USD
109,Citi,HSBC,0M0ONAFS,2018-11-23,2018-11-26,2200000,95,26,5.95,2090000,2300000,USD
110,Citi,HSBC,A3RHLM9M,2018-11-23,2018-11-26,3700000,95,26,5.95,3515000,3900000,USD
111,Citi,JPMorgan,E02PA498,2018-11-23,2018-11-26,7100000,95,26,5.95,6745000,7400000,USD
112,Citi,JPMorgan,RN5PI6NR,2018-11-23,2018-11-26,6900000,95,26,5.95,6555000,7200000,USD
113,Citi,JPMorgan,H0O253P6,2018-11-23,2018-11-26,9700000,95,26,5.95,9215000,10000000,USD
114,Citi,JPMorgan,H8QHQ5OA,2018-11-23,2018-11-26,8300000,95,26,5.95,7885000,8700000,USD
115,Citi,JPMorgan,FO6D956F,2018-11-23,2018-11-26,8800000,95,26,5.95,8360000,9200000,USD
116,Citi,JPMorgan,DALQ3BL5,2018-11-23,2018-11-26,700000,95,26,5.95,665000,730000,USD
117,Citi,JPMorgan,44C9DPJM,2018-11-23,2018-11-26,2100000,95,26,5.95,1995000,2200000,USD
118,Citi,JPMorgan,A3RHLM9M,2018-11-23,2018-11-26,5400000,95,26,5.95,5130000,5600000,USD
119,Citi,JPMorgan,0M0ONAFS,2018-11-23,2018-11-26,8400000,95,26,5.95,7980000,8800000,USD
120,Citi,JPMorgan,A3RHLM9M,2018-11-23,2018-11-26,2450000,95,26,5.95,2327500,2600000,USD
